"REF_DATE","GEO","DGUID","Estimates","Consumption category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Canada","2016A000011124","Household actual final consumption","Communications","Dollars","81","millions","6","v1039061525","1.4.9","21030.0","","","","1"
"2008","Canada","2016A000011124","Household actual final consumption","Recreation and culture","Dollars","81","millions","6","v1039061526","1.4.10","92460.7","","","","1"
"2008","Canada","2016A000011124","Household actual final consumption","Education","Dollars","81","millions","6","v1039061527","1.4.11","88389.5","","","","1"
"2008","Canada","2016A000011124","Household actual final consumption","Food, beverage and accommodation services","Dollars","81","millions","6","v1039061528","1.4.12","60082.0","","","","1"
"2008","Canada","2016A000011124","Household actual final consumption","Insurance and financial services","Dollars","81","millions","6","v1039061529","1.4.13","78026.0","","","","1"
"2008","Canada","2016A000011124","Household actual final consumption","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061530","1.4.14","63521.7","","","","1"
"2008","Canada","2016A000011124","Household actual final consumption","Net expenditure abroad","Dollars","81","millions","6","v1039061531","1.4.15","11889.0","","","","1"
"2008","Canada","2016A000011124","Household actual final consumption","Other services","Dollars","81","millions","6","v1039061532","1.4.16","13855.9","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Total consumption","Dollars","81","millions","6","v1039061533","2.1.1","12227.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Food and non-alcoholic beverages","Dollars","81","millions","6","v1039061534","2.1.2","1218.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Alcoholic beverages and tobacco","Dollars","81","millions","6","v1039061535","2.1.3","698.6","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Clothing and footwear","Dollars","81","millions","6","v1039061536","2.1.4","540.5","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061537","2.1.5","2623.7","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v1039061538","2.1.6","730.9","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Health","Dollars","81","millions","6","v1039061539","2.1.7","444.9","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Transport","Dollars","81","millions","6","v1039061540","2.1.8","2117.2","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Communications","Dollars","81","millions","6","v1039061541","2.1.9","324.9","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Recreation and culture","Dollars","81","millions","6","v1039061542","2.1.10","1043.1","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Education","Dollars","81","millions","6","v1039061543","2.1.11","107.2","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Food, beverage and accommodation services","Dollars","81","millions","6","v1039061544","2.1.12","756.3","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Insurance and financial services","Dollars","81","millions","6","v1039061545","2.1.13","880.5","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061546","2.1.14","668.7","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household final consumption expenditure","Net expenditure abroad","Dollars","81","millions","6","v1039061547","2.1.15","72.4","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of general governments","Total consumption","Dollars","81","millions","6","v1039061548","2.2.1","3770.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of general governments","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061549","2.2.5","83.4","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of general governments","Health","Dollars","81","millions","6","v1039061550","2.2.7","1983.3","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of general governments","Recreation and culture","Dollars","81","millions","6","v1039061551","2.2.10","109.2","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of general governments","Education","Dollars","81","millions","6","v1039061552","2.2.11","1438.4","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of general governments","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061553","2.2.14","155.7","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of non-profit institutions serving households","Total consumption","Dollars","81","millions","6","v1039061554","2.3.1","213.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of non-profit institutions serving households","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061555","2.3.5","4.4","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of non-profit institutions serving households","Health","Dollars","81","millions","6","v1039061556","2.3.7","3.7","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of non-profit institutions serving households","Recreation and culture","Dollars","81","millions","6","v1039061557","2.3.10","9.3","","","","1"
